CustomerID,Lookalikes
C0001,"[('C0048', 0.9995507138844091), ('C0112', 0.9945905029375011), ('C0192', 0.9934245585397883)]"
C0002,"[('C0106', 0.9976762225261243), ('C0092', 0.9974808435375295), ('C0056', 0.996381536684259)]"
C0003,"[('C0182', 0.9918687699510684), ('C0196', 0.9866434258303397), ('C0151', 0.9863685428734376)]"
C0004,"[('C0171', 0.9996205567930501), ('C0168', 0.9995326042394732), ('C0153', 0.9994190524846553)]"
C0005,"[('C0140', 0.9993291395711632), ('C0007', 0.997152392281122), ('C0146', 0.9967186858289786)]"
C0006,"[('C0153', 0.9989579807423485), ('C0185', 0.9989356751092573), ('C0168', 0.9989248534268748)]"
C0007,"[('C0115', 0.999434564560448), ('C0140', 0.9985848427972779), ('C0181', 0.9982370646137314)]"
C0008,"[('C0038', 0.9866769420799297), ('C0195', 0.985052951717308), ('C0160', 0.9820416037211754)]"
C0009,"[('C0198', 0.993146128948937), ('C0103', 0.9903865003402135), ('C0061', 0.9705221738508043)]"
C0010,"[('C0111', 0.9992045865461121), ('C0062', 0.9978287492918668), ('C0149', 0.9877165682771829)]"
C0011,"[('C0193', 0.9985245718519535), ('C0174', 0.99801745826833), ('C0153', 0.9974803203204533)]"
C0012,"[('C0113', 0.9996755841858831), ('C0196', 0.9983250998220145), ('C0104', 0.996943450815611)]"
C0013,"[('C0099', 0.9992510967636519), ('C0108', 0.996606744313401), ('C0107', 0.9904482620349779)]"
C0014,"[('C0060', 0.9998821325722644), ('C0172', 0.9895510972273492), ('C0164', 0.9842867295804877)]"
C0015,"[('C0094', 0.9984927180789622), ('C0131', 0.9961961062867815), ('C0116', 0.9939245049749115)]"
C0016,"[('C0098', 0.9975953716515994), ('C0067', 0.9974581272246292), ('C0042', 0.9957745327640557)]"
C0017,"[('C0057', 0.9998766064155974), ('C0064', 0.9991450612976945), ('C0023', 0.9978557952959641)]"
C0018,"[('C0117', 0.9940166707044131), ('C0046', 0.9850726330068205), ('C0125', 0.9758208333825595)]"
C0019,"[('C0121', 0.9961827050373069), ('C0044', 0.9922157716684126), ('C0081', 0.9908985035063376)]"
C0020,"[('C0190', 0.9913482460524747), ('C0035', 0.9894222015619639), ('C0186', 0.9892685077268388)]"
